"last_update","datetime","datetime_utc","tz_time","geo_id","geo_name","metric_id","metric_name","value"
"2025-06-10 15:10:05","2025-05-14 15:10:05","2025-05-14 15:10:05","2025-05-14 15:10:05",167,"region_7",17,"supply",359499.13670000003
"2025-06-10 15:10:05","2025-05-12 15:10:05","2025-05-12 15:10:05","2025-05-12 15:10:05",129,"region_9",19,"capacity",270705.1129
"2025-06-10 15:10:05","2025-05-30 15:10:05","2025-05-30 15:10:05","2025-05-30 15:10:05",171,"region_1",11,"demand",44813.4571
"2025-06-10 15:10:05","2025-06-10 15:10:05","2025-06-10 15:10:05","2025-06-10 15:10:05",170,"region_0",10,"price",340364.327
"2025-06-10 15:10:05","2025-05-18 15:10:05","2025-05-18 15:10:05","2025-05-18 15:10:05",143,"region_3",13,"forecast",266594.8243
"2025-06-10 15:10:05","2025-05-29 15:10:05","2025-05-29 15:10:05","2025-05-29 15:10:05",112,"region_2",12,"supply",392214.5912
"2025-06-10 15:10:05","2025-05-25 15:10:05","2025-05-25 15:10:05","2025-05-25 15:10:05",106,"region_6",16,"demand",408100.7106
"2025-06-10 15:10:05","2025-05-20 15:10:05","2025-05-20 15:10:05","2025-05-20 15:10:05",111,"region_1",11,"demand",113347.8011
"2025-06-10 15:10:05","2025-05-21 15:10:05","2025-05-21 15:10:05","2025-05-21 15:10:05",120,"region_0",10,"price",117301.94200000001
"2025-06-10 15:10:05","2025-05-12 15:10:05","2025-05-12 15:10:05","2025-05-12 15:10:05",149,"region_9",19,"capacity",125094.3649
