"last_update","datetime","datetime_utc","tz_time","geo_id","geo_name","metric_id","metric_name","value"
"2025-06-10 15:09:53","2025-05-27 15:09:53","2025-05-27 15:09:53","2025-05-27 15:09:53",55,"Region_15",5,"Biomass",588684854000
"2025-06-10 15:09:53","2025-05-18 15:09:53","2025-05-18 15:09:53","2025-05-18 15:09:53",74,"Region_14",4,"Gas",2635746173000
"2025-06-10 15:09:53","2025-05-25 15:09:53","2025-05-25 15:09:53","2025-05-25 15:09:53",67,"Region_7",7,"Biomass",899118766000
"2025-06-10 15:09:53","2025-06-04 15:09:53","2025-06-04 15:09:53","2025-06-04 15:09:53",17,"Region_17",7,"Solar",4080889416000
"2025-06-10 15:09:53","2025-05-30 15:09:53","2025-05-30 15:09:53","2025-05-30 15:09:53",92,"Region_12",2,"Nuclear",1516478891000
"2025-06-10 15:09:53","2025-05-19 15:09:53","2025-05-19 15:09:53","2025-05-19 15:09:53",53,"Region_13",3,"Solar",3457701352000
"2025-06-10 15:09:53","2025-05-18 15:09:53","2025-05-18 15:09:53","2025-05-18 15:09:53",44,"Region_4",4,"Nuclear",2915643443000
"2025-06-10 15:09:53","2025-05-31 15:09:53","2025-05-31 15:09:53","2025-05-31 15:09:53",91,"Region_11",1,"Biomass",3430698190000
"2025-06-10 15:09:53","2025-05-24 15:09:53","2025-05-24 15:09:53","2025-05-24 15:09:53",8,"Region_8",8,"Geothermal",4253631407000
"2025-06-10 15:09:53","2025-05-13 15:09:53","2025-05-13 15:09:53","2025-05-13 15:09:53",9,"Region_9",9,"Solar",443824408000
