"last_update","datetime","datetime_utc","tz_time","geo_id","geo_name","metric_id","metric_name","value"
"2025-06-10 15:10:34","2025-06-10 14:15:31","2025-06-10 14:15:31","2025-06-10 14:15:31",4,"Region_3",4,"Voltage",3029015206
"2025-06-10 15:10:34","2025-06-09 22:31:49","2025-06-09 22:31:49","2025-06-09 22:31:49",26,"Region_5",6,"Demand",1666716550
"2025-06-10 15:10:34","2025-06-10 12:54:41","2025-06-10 12:54:41","2025-06-10 12:54:41",54,"Region_13",4,"Voltage",1436321906
"2025-06-10 15:10:34","2025-06-09 22:06:27","2025-06-09 22:06:27","2025-06-09 22:06:27",48,"Region_7",8,"Frequency",1554916194
"2025-06-10 15:10:34","2025-06-09 20:41:36","2025-06-09 20:41:36","2025-06-09 20:41:36",39,"Region_18",9,"Voltage",374697876
"2025-06-10 15:10:34","2025-06-09 15:58:22","2025-06-09 15:58:22","2025-06-09 15:58:22",33,"Region_12",3,"Frequency",177549964
"2025-06-10 15:10:34","2025-06-10 02:59:30","2025-06-10 02:59:30","2025-06-10 02:59:30",65,"Region_4",5,"Power Factor",583763028
"2025-06-10 15:10:34","2025-06-10 04:10:41","2025-06-10 04:10:41","2025-06-10 04:10:41",94,"Region_13",4,"Voltage",2155374986
"2025-06-10 15:10:34","2025-06-10 11:24:00","2025-06-10 11:24:00","2025-06-10 11:24:00",95,"Region_14",5,"Power Factor",1093924188
"2025-06-10 15:10:34","2025-06-10 06:36:49","2025-06-10 06:36:49","2025-06-10 06:36:49",26,"Region_5",6,"Demand",2865400750
